content,label
How do to stop monthly payment because i don't use this app anymore,Other
"Absolutely refuses to not sync data with Google account. If I try to use a Gmail sign in I HAVE to sync everything with Google. The app will ask 500 times in a row regardless of how many times I hit ""deny"". Makes the entire app totally unusable. Changing emails is a massive pain in the ass if you already have a Google account associated with it. This is absolute garbage.",Crashes
"Great app! I suggest a timer on this one, so we can still track our rest periods every time we take a short rest.",Praises
"Beautiful interface but it is very annoying to navigate and not fluid. Creating reoccurring tasks seems to be a pain. Not sure if it's me or the app, but I kept having to change the time 2-3 times to get the correct times reoccurence. Grocery list is awesome. The calendar looks like Google calendar which is nice but it is choppy to navigate.",Crashes
Excellent app.,Praises
Dear developer I am the paid user of application. No notification sound is coming. Please see the issue urgently.,Bugs
Keeping me on top of stuff! Love the colors!,Praises
It was a meh app. Good for a while and then the server crash. I cant even login anymore. I already purchased the premium version but cannot use it anymore. So sad to say this but i really regreted buying the premium version. Bye dev.,Crashes
I have an issue of widget stretching. Are there any debugs?,Bugs
Really like it. Would love to be able to manually resize appointments and add new appointments into arcs with free time.,Praises
Great app. New update doesn't allow me to restore my pro status for some reason. Keeps saying I need to log out of other Google accounts but I only have my one Google account.,Praises
One of the main bugs in this app is that the widget's time doesn't update on its own. And the time gets stuck at any point.,Bugs
I'm sure this would be a great app... if you could actually use it. But it only allows you do add things from another calendar making it useless if you don't have one.,Praises
Too slow and clunky. Especially with signup,Complaints
Widget is slow,Complaints
"I found this app to be redundant, since I already have a calendar on my phone, and Planner Pro does little else.",Other
It doesnt update between your calanders. I need a planner that stays up to date with my calendar changes. This is not it.  Waste of money.,Crashes
"Used to love it, now it's been an issue after issue with this app. You'd expect that it would perform at least the basic task of reading my calendars. Doesn't even do that anymore, no matter how many times I try to sync it. So much for getting the ""premium"" version. Disappointing.",Bugs
"The setup seemed nice, but the constant pop ups are so annoying as to make it unusable",Complaints
"This app really changed my life. I was able to make my life work with this. I've been trying to get my life on track and out of depression, and this app showed me how. Now I am keeping my house clean, keeping up with my social life, doing homeschool with my kids, and keeping up with then 😊 I didn't think that was possible last year.",Crashes
"Medium. Would be better if everyone had the feature to create todos from flagged email in outlook. Without that, I don't need outlook on my phone.",Other
"The UI looks good but can be confusing. The different labels (programmer, etc.) don't make much sense in the context of the app. You can't check an item as 'done', and if something in your day changes and you need to adjust or reorder your routine for one day, you can't, which makes the app a bit useless.",Crashes
Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,Crashes
"Hello I just upgraded to your go pro within this free version but it looks like nothing changed.. How do I get those pro features? Where are the widgets? Do I have to install the Pro app? I have to buy it again if I did that, I've looked it up already. Please fix this. I have already refund your app.",Crashes
"While it has helped me be more productive, recently the notification settings are bugging out. When I tap on 'ADD notification', and select a louder notification (for when I wake up) and press done, I find out sooner or later than it had reset it to the ""opener"" (my default notification sound that is quiter). This has caused me great annoyance because of this and do not know why this app decided to bug out!",Bugs
"Looks really good, but unfortunately couldn't get to set a customized template...",Other
"One of the key premium features of this app is labeling, which unfortunately doesn't work properly. When I try to move a label to a shared section, the app crashes. Additionally there is an inconsistency between Android and iOS in how the labels work. In Android I can see the whole list of labels even without tasks, on iOS a label is deleted when there are no tasks marked with the label. This together makes sharing labeled tasks with my wife really annoying",Crashes
Easy to use,Other
"This new planner pro for which I paid for life is poorer than the previous version. I take ages to open, does not immediatly delete bring not all old tasks forward. Very bad.",Complaints
"Very good app for tracking habits and notes to add ,but lots of bugs to say.Percentage is not correct always,it calculates own and no sync, no UI improvement .thanks",Bugs
The invite user feature is horrible. You can only do it through email as the text option doesn't work. I used to be able to select a user in the app and they would be notified in the app. I was a user of Wunderlist and this is a step backwards as far as I can tell.,Other
Good app. Very nice. But is confusing. I do not understand anything. But no problem. I will learn. Then this is a good app.,Bugs
The app sends too many notifications with annoying sound 😡,Complaints
This app looked good until I had to purchase it just to get the week view. Now everytime I choose week view it crashes and stops working! I want a refund or a fix!,Crashes
"Not working fully, I was wondering what happened to the reminder I set. It only notified me (of an event already passed) when I opened the app, what use is that? *Edit, dev telling me I'm ignoring faq, I can't find that when looking at the app on the play store.",Complaints
"When I first installed the app, it worked well. However, recently I started getting notifications at incorrect times (out by several hours). I have not changed anything since I set it up a few months ago. This app is pretty much useless now.",Crashes
good app...but they could add something like notification bar tab or floating widget or something so as to remind us constantly to keep us in check in order to develop out habits,Other
"Hi I really enjoy and appreciate this app. As a mobile app it works perfectly for me, however I'd really appreciate a computer version that can sync with it. I'm not sure if this exists already? I like that the app is on my phone so that i can constantly check my schedule anywhere - any time, however when I feel the need to adapt and change my schedule, it feels a little cluttered and time consuming. I frequently feel the urge to open it up on my computer as it is easier to work with this interface given the larger screen and increased capability. Please consider this in future upgrades, Regards,",Crashes
Easy to use and does the job in an easy user friendly format.,Other
"I like it, also I would like, like a wedget but for the block screen. Then you don't need to open the phone, only activate the screen in order to see the next task in your calendar",Other
"This app worked well at first, but it kept altering my entries no matter how many times I changed them. Not sure if it's a problem just with syncing accounts.",Bugs
"There seems to be a bug with the latest version where all new items have the note icon showing. Please fix, it's annoying.",Bugs
I really can't change notification sound and it uses the same phone notification.,Crashes
I have been using this application for 1 week. I am giving five stars to this application because after downloading this application I am getting my work done on time. I have benefited a lot from this application. People who want to do their work at certain times and change their lives. Do download this application.❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Crashes
"Now not working after pie /EMUI 9.0.0, please update or give instructions, still not working, no option found in settings, please help as guided",Complaints
"This app changed my life. Im more willing to do the hard parts of my day because I don't want to take more damage. Seriously, this app is a God send and I even subscribed!!",Crashes
"So far, I love this app and the idea behind it. It holds me accountable for my tasks and habits which i really love. I would totally give it a shot.",Praises
"A decent app for its intents and purposes but I struggle to stay invested. It's visually good, great icons and colours, also has a nice selection of skills. My biggest issue is the navigation. I can't immediately see or twirl down to see subtasks. Actually marking something as done, especially subtasks is a challenge - mostly because you face to keep tapping through the task and pages of info to get there. Perhaps a mind map or something would make it easier.",Bugs
"Love the new UI. Before, you can't look at tasks when offline. It's fixed now. You can also filter the tags.",Praises
"I've been trying to figure out how to have a custom time set for the ""add notification"" options, and there doesn't seem to be any way. For example, I need to set it to 1 hour and 30 minutes, but there's no option for that. We need the ability to enter exactly the number of minutes and hours we want, instead of only having presets.  EDIT: Now after using it for a while, the app has been plagued with reliability issues. It often is late with the notification by a few minutes, or the service completely stops and I'd have to restart the service. Due to this issue, I cannot rely on this app for anything that is time-sensitive because I'd end up being late for all my appointments and jobs. I've contacted the developer multiple times about this but so far they haven't been able to fix the issue.",Bugs
"Seems like it could be fun, I just had a hard time getting into it.",Praises
"So much potential. Still learning but loving it. CON: when tasks go to Notification Bar I have option to mark Complete or Snooze. When I tap on either, it freezes my phone for up to 10 to 12 secs. Sometimes get UI isn't responding. WHY?",Crashes
Amazing App!!! But still you guys need make a lot of changes in UI for eg: I am unable to decide how much coins should i get with one positive And all task should reset at a specified time by user,Crashes
Can't sort via categories. Importance level doesn't sync well. Basically syncing problems all around. Creating new lists don't show in Outlook proper.,Bugs
"Um lixo. Esses caras da Microsoft extinguiram o Wunderlist, que era mais simples e mais amigável que este lixo e ainda impediram a revenda do Wunderlist para is antigos donos. Desidratando este traste de app. Perdi todas as minhas tarefas na transição. VTNC Microsoft.",Other
"The background is very bland, you could have more colors. I also noticed that the app keeps crashing",Crashes
Really nice but need some more changes,Crashes
Just installed. Keyed in all tasks n to-do list. Server error. Lost everything. Redo. Server error. Lost. Kept repeating. Frustrating = Uninstalled.,Bugs
"I was introduced to this app by a friend, and it definitely didn't disappoint. The task manager is very fun to use and is extremely customizable, and the events and group activities make it even more fun, though the menu navigation could be improved, as well as the rewards for doing tasks, because I don't feel too motivated to do the tasks still",Praises
I have paid for the premium features but the sync is not working. I mailed them but got no response,Complaints
"I really have loved this app but it has lately been bugging out on me, even though it is up to date. It won't let me view certain days at all, it will just take me to the day before or the same date in a different month if I try clicking on it. It only started for the past week or two.",Bugs
Nice app. Bug with achievement exp gained. It only adds on to current hero exp without leveling up eg( 144exp/25exp ). Why does skill decay even after doing a task that increases it?,Bugs
Great but over half the time when I edit a task it changes the year to the 1960s even though it says 2019 when selected.,Crashes
"Tasks that I change dates does not move to the new date assigned. I'm dismayed because I am a premium member. Moreover, it doesn't have a 1 week or 7 day folder. Apart from the calendar, I also want to see a 7 day list or folder...",Crashes
"Nice interface and it syncs across my devices. However the widget constantly crashes on both, P30 Pro, Oneplus 7T Pro.",Crashes
Best todo app,Other
Thank you for such a gud sectograph this is so nice and perfect but i want the alarm should ring louder/to adjust but it's not available I think if it's there pls let me know how to adjust the volume.,Other
No longer able to add note to Todoist quickly using Google and Note-to-self. Yes you can do it but it takes 60 seconds instead of 10 seconds. Not sure if this is a Google change or a Todoist change but it removes one of the most useful parts on Todoist. I am a LONG TIME premium user looking for another tool.,Crashes
"just started using and seems interesting, hope it'll help me to improve my life! one issue I have is that it does not give an option to sort to-do task by deadlines, which is better to see which tasks are urgent and not overlooked, hope there's an update to add this function!",Bugs
"Cant even get past the first screen. I get a notice that my phone is blocking the app, but there are no instructions in the troubleshooting for my pixel, I've looked all over my settings, there's nothing I can find to change to ""allow"" this app to do something. Frankly I'm dubious that this app somehow needs some extreme level of permissions that no other ever has, especially as it hasnt told me why.",Crashes
"Great app for goal makers, but there are some premium features . Please make them free to use. It's a humble request.",Praises
"I loved this app. I've been using it for years. Today I have updated it and mh2 premium account just vanished! Now it prompts me to buy Premium again. What happened? Could you help me please? After a few years and after the second time paying for a premium membership and after no one reacted to my complaint, my premium membership and all my data vanished again without any backup as promised. This happens everytime I buy a new phone. Very dissapointing. I will not fur sure buy a third premium!",Praises
Superb App! Once you try this one you won't be looking for another. Not just for business! Works for personal use as well.,Other
"I hate when the things are no clear, basic features as reminders are in the premium membership",Complaints
"Good app... Relatively easy, with out being too simplistic... Rpg aspects are engaging but not excessively time consuming! Calendar is 'paid access', which is a little annoying, but certainly understandable... Popup ads are mostly brief (as should be), and far enough between, they are acceptable enough... All in all, best 'RPG ToDo list' I've tried...!",Complaints
"Not worth it. Doesn't have multiple times a day, you can't change a habit after initial setup, the interface is painful, get something better.",Crashes
This app is nice but I put notifications and it don't give me notifications so my dismissed So please improve this problem,Bugs
"Excellent app in all ways...one thing that I could suggest is that we can add things in-between instead of the new items always going to the top or bottom...(other apps have this feature) ,but I would definitely recommend this...it even let's you color code what is important :) Thank you. :) Great app. :)",Praises
"Great Very usefull, please add fitur search to find an old note",Praises
"Getting annoying, reminder keep jumping out although the task is set one month later. Start Looking for alternatives",Complaints
"Idk if it's my phone or this app, but I can't get it to work properly ever since I got a new phone. The allow apps feature should only allow a few apps to be used but when that's turned on I can access all apps regardless of the list making it pretty useless. I allowed everything for this app in my phone's settings but still no change. Disappointing since I used to love this app.",Crashes
"Agree with other reviewers - Wunderlist worked much better. Have issues with items not synching between devices, takes a long time to manually synch, uploading attachments to items doesn't seem to work without restarting the app, the Windows pc version is particularly poor. Appears Microsoft have mucked around with the code base and broken a really good app :(",Bugs
"Good app. But didnt exceed my expectations to create a google hangouts scheduler. I really want an automatoc hangouts chat scheduled to be sent but when I tried to set it up on zapier, it doesnt work. I had to unsubscribe to yearly premium, Im not sure what gives the premium vs free",Crashes
Not working,Complaints
"The description of this app says it supports tasks - but doesn't tell you it only works in the paid version.  Tasks are the ONLY reason I downloaded, and I will not pay for an app when I can't try out a feature, first.  I feel like this developer has stolen my contact information now - very shady. Will not use this or any of their other apps.  Uninstalling, with a vengeance.  Going back to Google calendar and Google Keep, and will continue to look for an app that works like those two google apps in an integrated single app...or works similar tor Microsoft Outlook.",Complaints
"This is really a good app, it really reduced my bad habit of using phone and checking phone continously, I suggest everyone to download this app...",Complaints
Super super buggy on my Note 8 . Can't press anything on the character creation menu after registering . Justin ( the tip guy ) ALWAYS comes up after pressing any of the menus . Super super annoying . please fix a.s.a.p,Bugs
Everything is great. But the sort by time isn't working properly.,Praises
"I'm loving how I have set it up so I record behaviour that I want to change, stop or improve. And it motivates me to see those ticks at the end of the day. Only thing is when I turn off all notifications they immediately turn themselves back on. Otherwise excellent.",Crashes
I really love it,Praises
Very customizable and easy to use. Works great with Google calendar but I can't get it to sync with my office 365 outlook account. Bummer!!,Praises
"made my phone slow and why to pay money on this app my money has gone and 
no result.widget is not saving and changing.but idea of this app is gud.my 
money gone",Crashes
C'est la meilleure application pour vaincre la procrastination,Other
Overall good. A search feature would be great for notes. Thanks,Praises
The app sends too many notifications with annoying sound 😡,Complaints
What more can I say had to change my password cause I forgot and it asks me to change my password again due to questionable activity. Don't want to deal with it anymore its just a darn list who gives a rats behind if someone wants to b view what I'm picking up for dinner they can pick it up for me if they want but not trying to come up with a whole new password so you can make me create another one 10 minutes later.,Crashes
Not working. Keeps force exit the app.,Complaints
Won't let me even test the features of the program without the hassle of creating a full account. Uninstalled.,Complaints
"This app was fine for years and then became extremely laggy. It also started duplicating weekly tasks to the point that I would have to delete five or six versions of a task in order to return it to one weekly. Often the delete or complete options have to be used multiple times on the same task before it actually disappears. I have basically stopped using it except as a calendar, but it's so slow it's not even efficient to be used for that.",Complaints
I couldnt even get past setting everything up before it glitched. I couldnt move on from types of goals. A pop up showed up that said something about strength and attributes.,Bugs
"App was useful, but I was very disappointed when a large number of trees were moved to premium without warning. I had been saving up and watching extra ads for coins for weeks, and then found there was nothing I wanted to spend those coins on. It felt underhanded - I thought the deal was that I watch ads, app gets revenue, and I get a nice tree, but then that deal changed. If you're going to move features to premium it would be polite to warn users so they could spend saved coins first.",Crashes
"This app use to be ""all calendars in one app"" but not anymore. So frustrating that you are not able to add anymore O365/Exchange calendars. Not willing to use 2 separate calendar apps. Sorry.",Crashes
"Recent update crashes the app a few seconds after launch Update: I know what's causing it. I have a root level adblock and with your new full screen ads that get blocked, it instead just relaunches the app for me. I'm not disabling my adblock for one app, full screen ads unacceptable anyway for an app branded for ""business"" use.",Crashes
"This app helps me stay sane while working from home, juggling errands and work. It frees my mind from trying to remember what I need to do and focus on the task at hand. However, I'm experiencing occasional issues when using the pomo timer.",Bugs
"UPDATE: Just lost my notes on my todo. Super annoying, as it were important technical details. Also keeps having sync issues with my laptop, subtasks do not synchronize. OLD: 3 star, because the date on my phone does not show the weekday of a date, like on desktop, but this is something absolutely essential for me.",Bugs
"It used to be a great app, but since you took away ability to change/delete a single event in a series of the recurring events - it's not good for me any more 😞",Crashes
"I love this app, it's the only one I've found which combines tasks and habits in a simple way. However, I do get frustrated that I can't seem to change the scheduling of a habit after I've set it up. E.g. If it's set for once a week and I want to make it twice I have to delete it and create a new one. Can you please fix this",Crashes
Very good app 👍 it's help me to change my bad habits 🤠,Crashes
This app looked good until I had to purchase it just to get the week view. Now everytime I choose week view it crashes and stops working! I want a refund or a fix!,Crashes
I actually loooooove the app and use it to organise my life but it has now stopped updating as a widget. If I make changes to my lists on the app it will not change on the widget?,Crashes
"I quite like habitica, but this app has some issues. The biggest problem for me is that switching the to do list to ""Scheduled"" is supposed to sort the to do items by due date (that's how it works on the website), but it doesn't. That makes the to do list (in the app) useless for me.",Bugs
"I paid for habitbull premium for the sync functionality, which fully does not work. I've tried reinstalling the app, reinstalling android, getting a new phone. No luck. Emailed habitbull a month ago and still no reply. If I want to take a backup I have to screenshot everything. not ideal Apart from this the app is decent. It's got a cute meme",Praises
I like the app a lot. But the app keeps crashing within a week of installing. I have to reinstall again to use the app. Please fix this.,Crashes
"So disappointing!!! I used to love this app bit over the last few months it is Sooooooo glitchy! I just spent an hour deleting and checking off tasks from my to do list and everytime I think Im done, they show back up in triplicate!! Everything I changed IS STILL THERE AFTER AN HOUR!!! DOES THAT SOUND LIKE A GOOD TIME MANAGEMENT PROGRAM????? AND NO WAY TO CONTACT SUPPORT BECAUSE WHEN I TRY TO GET TO THE MENU IT SHOWS A BLACK SCREEN!!!!!",Bugs
"I love the App. However, I recently renewed my phone in China and I need a version that will run without Google play services. - Please make something available so that I may continue to enjoy Todoist",Praises
"Definitely I appropriate your hard work and this app different from all those big guys apps, but question is if someone lost the phone or uninstalled the app, what is the purpose this app?, So i'm just suggesting, > you can limit the how many task can be added by users without premium >Opt. In Ads for auto backup",Complaints
One of the main bugs in this app is that the widget's time doesn't update on its own. And the time gets stuck at any point.,Bugs
"The app is really useful, one must download it but it just have one problem that we need to refresh the widget all the time to see current time, unless we don't refresh the widget we cannot check the upcoming event through widget, if you can solve this, this is one of the best app for daily use and surely you'll get more pro version users of this app. Thank you.",Bugs
This app changed my life,Crashes
I like the app alot but there is one problem when i set the reminder as a alarm it doesn't ring on time and before this app was nice it's just that problem and now it doesn't ring on time and i missed a meeting because it rang late but anyway this app is nice.,Bugs
"Very nice app with a bad drawback: today's repetition for a recurring task will not appear unless I mark yesterday's task as done! Here's how this is very bad for me:  - I have many recurring daily tasks, and it's a very tedious job to mark all my recurring tasks as done, even those that were NOT done! It gets much worse if I don't use the app for a few days! Then I have to mark all recurring tasks as done for every and each previous day!!!!  - The app forces me to record false information! A task that was not done on a specific day, should stay there as NOT done, and the recurring task should be generated for the following day.  - You have only 3 options for a recurring task: 1) to mark it as done in order for it to appear on the following day. 2) not to mark it as done, and it will never ""recur""! 3) to delete, and it disappears, and naturally, it will never ""recur""!  A recurring task should recur, regardless of marking or not marking the previous repetition as done!",Complaints
Cant see my character,Other
I love it so far but is there a way to track ur stats over time?,Praises
Love it. I'm self employed with several appointments a day. Being able to see my appointments at a quick glance is really helpful and a must for me.,Praises
"app has improved a lot since initial launch and it's still my go-to for my daily tasks! still hoping for more social features in the future. also, there is still the lingering issue with a surprising amount of battery use, i think it's still related to the amount of tasks i have (i have a very busy schedule), and it causes my phone to overheat. keep up the good work!",Bugs
"I've used the new major redesign for a month or two now, and it's definitely a step back. Especially on desktop web. Editing is such a chore now, I hate the pop-up!",Complaints
"it's alright, it sucks that many things need to be bought. otherwise its awesome",Other
"Awesome reminder app. This one actually motivates you to complete tasks because it shows you your progress and the ui is easy to use. It's very customizable, from being able to choose the icon of a task to allowing you to create an unlimited number of tasks. The free version also allows the use of almost all of its features and doesn't hinder you in any way. I'm considering getting a subscription, but mostly because I want to support the creators of the app that has improved my daily life.",Other
"The app's concept is very misleading. I was promised gameplay and if it really is in here, I'm having a rough time finding it.",Other
"The company has removed the feature that elevated the tool from others completely unannounced. Without it it's just a list tool with inconvenient UX, limited possibilities of organizing your tasks, absolutely useless and badly calculated karma and overpriced premium. Would not recommend to anybody - there are tons of better tools.",Complaints
"I made several repeating tasks that are supposed to be repeated weekly by the day of the week. They seem to just multiply and now the same 4 tasks will show up 3 times each on a single day. I can't edit the original repeating ones, I can only delete them individually on the day they show up several times. This is VERY annoying. This app was a waste of my money. I paid for the ability to make repeating tasks. I'm very disappointed.",Complaints
I'm thoroughly enjoying this app so far. I've been a lot more productive and on point with my tasks as well as keeping up with my personal studies and hobbies. The game aspect has been great for me to hold accountability of my actions while finding joy in completing self-made goals and gaining experience and items.,Praises
"I have used this awesome app for 3 years at least. Sleek, convenient, powerful. But the recent updates just bring more and very intrusive ads. If that is not reverted soon, I will have to change app. Pissed by how awesome app become awful because someone wants to make money out of other's great job. And thanks for your copy pasted answer 🙏",Crashes
"I've been using Habitica for a few years now and while I love the idea, from a technical standpoint the mobile app is broken. It feels like something you would have on your phone back when touchscreens were a new thing. The most annoying bugs are: party screen not updating after you accept a quest invitation so you're not sure if you accepted it, spamming buffs sometimes reduces your mana without actually applying the buff and party chat not updating (have to restart the app to see new messages)",Bugs
Now when I get a reminder it wakes up the screen to display the notification. There's no way to change this. Edit: reminder pop-ups is already switch OFF.,Crashes
This is perfect for me. I find it really easy and quick to use this app and maintain my daily routine. Also it looks Kind of cool on my home screen and the colour coding helps me too. I would suggest to add some more colours to choose from.,Other
"A glorified ""stock calendar"", as Tech Support calls it (the native Calendar app). Forget it if you have an Outlook calendar; notwithstanding what appears on the app, only Exchange is supported. Seems they spent more time on bells and whistles than the underlying architecture of the app",Crashes
Too bad app not working since the day i started using... The apps again and again saying some prob occurred please check 8n browser.....,Complaints
